Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Acute Viral Hepatitis B","2023","United States","NA","0-14","All races/ethnicities","Both sexes","1","0.0","59,498,481"
"Acute Viral Hepatitis B","2023","United States","NA","65+","All races/ethnicities","Both sexes","374","0.6","59,248,361"
"Acute Viral Hepatitis B","2023","United States","NA","55-64","All races/ethnicities","Both sexes","422","1.0","41,854,411"
"Acute Viral Hepatitis B","2023","United States","NA","45-54","All races/ethnicities","Both sexes","557","1.4","40,493,781"
"Acute Viral Hepatitis B","2023","United States","NA","35-44","All races/ethnicities","Both sexes","492","1.1","44,390,693"
"Acute Viral Hepatitis B","2023","United States","NA","25-34","All races/ethnicities","Both sexes","266","0.6","45,542,516"
"Acute Viral Hepatitis B","2023","United States","NA","15-24","All races/ethnicities","Both sexes","102","0.2","43,886,652"
"Acute Viral Hepatitis B","2022","United States","NA","15-24","All races/ethnicities","Both sexes","82","0.2","44,341,571"
"Acute Viral Hepatitis B","2022","United States","NA","0-14","All races/ethnicities","Both sexes","3","0.0","59,437,387"
"Acute Viral Hepatitis B","2022","United States","NA","65+","All races/ethnicities","Both sexes","303","0.5","57,794,852"
"Acute Viral Hepatitis B","2022","United States","NA","55-64","All races/ethnicities","Both sexes","418","1.0","42,085,437"
"Acute Viral Hepatitis B","2022","United States","NA","45-54","All races/ethnicities","Both sexes","571","1.4","40,431,645"
"Acute Viral Hepatitis B","2022","United States","NA","35-44","All races/ethnicities","Both sexes","496","1.1","43,695,365"
"Acute Viral Hepatitis B","2022","United States","NA","25-34","All races/ethnicities","Both sexes","253","0.6","45,501,300"
"Acute Viral Hepatitis B","2021","United States","NA","25-34","All races/ethnicities","Both sexes","244","0.5","45,196,627"
"Acute Viral Hepatitis B","2021","United States","NA","15-24","All races/ethnicities","Both sexes","78","0.2","42,858,545"
"Acute Viral Hepatitis B","2021","United States","NA","0-14","All races/ethnicities","Both sexes","1","0.0","60,286,067"
"Acute Viral Hepatitis B","2021","United States","NA","65+","All races/ethnicities","Both sexes","244","0.4","55,563,324"
"Acute Viral Hepatitis B","2021","United States","NA","55-64","All races/ethnicities","Both sexes","320","0.8","42,581,809"
"Acute Viral Hepatitis B","2021","United States","NA","45-54","All races/ethnicities","Both sexes","532","1.3","40,484,075"
"Acute Viral Hepatitis B","2021","United States","NA","35-44","All races/ethnicities","Both sexes","626","1.5","43,157,638"
"Acute Viral Hepatitis B","2020 (COVID-19 Pandemic)","United States","NA","35-44","All races/ethnicities","Both sexes","643","1.5","41,896,457"
"Acute Viral Hepatitis B","2020 (COVID-19 Pandemic)","United States","NA","25-34","All races/ethnicities","Both sexes","284","0.6","45,756,209"
"Acute Viral Hepatitis B","2020 (COVID-19 Pandemic)","United States","NA","15-24","All races/ethnicities","Both sexes","66","0.2","42,324,612"
"Acute Viral Hepatitis B","2020 (COVID-19 Pandemic)","United States","NA","0-14","All races/ethnicities","Both sexes","2","0.0","60,013,790"
"Acute Viral Hepatitis B","2020 (COVID-19 Pandemic)","United States","NA","65+","All races/ethnicities","Both sexes","212","0.4","55,377,055"
"Acute Viral Hepatitis B","2020 (COVID-19 Pandemic)","United States","NA","55-64","All races/ethnicities","Both sexes","368","0.9","42,184,709"
"Acute Viral Hepatitis B","2020 (COVID-19 Pandemic)","United States","NA","45-54","All races/ethnicities","Both sexes","581","1.4","40,161,350"
"Acute Viral Hepatitis B","2019","United States","NA","45-54","All races/ethnicities","Both sexes","885","2.2","40,371,497"
"Acute Viral Hepatitis B","2019","United States","NA","35-44","All races/ethnicities","Both sexes","1,103","2.7","41,089,125"
"Acute Viral Hepatitis B","2019","United States","NA","25-34","All races/ethnicities","Both sexes","416","0.9","45,257,658"
"Acute Viral Hepatitis B","2019","United States","NA","15-24","All races/ethnicities","Both sexes","87","0.2","42,075,292"
"Acute Viral Hepatitis B","2019","United States","NA","0-14","All races/ethnicities","Both sexes","1","0.0","59,739,919"
"Acute Viral Hepatitis B","2019","United States","NA","65+","All races/ethnicities","Both sexes","247","0.5","53,351,571"
"Acute Viral Hepatitis B","2019","United States","NA","55-64","All races/ethnicities","Both sexes","453","1.1","41,892,881"
"Acute Viral Hepatitis B","2018","United States","NA","55-64","All races/ethnicities","Both sexes","497","1.2","42,053,176"
"Acute Viral Hepatitis B","2018","United States","NA","45-54","All races/ethnicities","Both sexes","888","2.1","41,416,876"
"Acute Viral Hepatitis B","2018","United States","NA","35-44","All races/ethnicities","Both sexes","1,130","2.8","41,048,028"
"Acute Viral Hepatitis B","2018","United States","NA","25-34","All races/ethnicities","Both sexes","457","1.0","45,387,456"
"Acute Viral Hepatitis B","2018","United States","NA","15-24","All races/ethnicities","Both sexes","105","0.2","42,732,934"
"Acute Viral Hepatitis B","2018","United States","NA","0-14","All races/ethnicities","Both sexes","4","0.0","60,605,558"
"Acute Viral Hepatitis B","2018","United States","NA","65+","All races/ethnicities","Both sexes","240","0.5","52,163,636"
"Acute Viral Hepatitis B","2017","United States","NA","0-14","All races/ethnicities","Both sexes","0","0.0","60,628,386"
"Acute Viral Hepatitis B","2017","United States","NA","65+","All races/ethnicities","Both sexes","242","0.5","50,505,383"
"Acute Viral Hepatitis B","2017","United States","NA","55-64","All races/ethnicities","Both sexes","457","1.1","41,696,099"
"Acute Viral Hepatitis B","2017","United States","NA","45-54","All races/ethnicities","Both sexes","896","2.1","42,088,638"
"Acute Viral Hepatitis B","2017","United States","NA","35-44","All races/ethnicities","Both sexes","1,138","2.8","40,578,221"
"Acute Viral Hepatitis B","2017","United States","NA","25-34","All races/ethnicities","Both sexes","572","1.3","44,955,410"
"Acute Viral Hepatitis B","2017","United States","NA","15-24","All races/ethnicities","Both sexes","99","0.2","42,934,115"
"Acute Viral Hepatitis B","2016","United States","NA","15-24","All races/ethnicities","Both sexes","107","0.2","43,185,663"
"Acute Viral Hepatitis B","2016","United States","NA","0-14","All races/ethnicities","Both sexes","5","0.0","60,582,553"
"Acute Viral Hepatitis B","2016","United States","NA","65+","All races/ethnicities","Both sexes","198","0.4","48,903,728"
